[-0.6916310288944599, -0.10423905108494426]
[-0.6886792595880747, -0.10451710100167934]
[-0.6857073791184258, -0.10479209871274711]
[-0.6827152223663634, -0.10506399768924053]
[-0.6797026210239784, -0.10533275037276009]
[-0.6766694035080678, -0.10559830814327652]
[-0.6736153948704718, -0.10586062128571241]
[-0.6705404167051412, -0.10611963895518024]
[-0.6674442870517873, -0.10637530914081036]
[-0.6643268202959597, -0.1066275786280992]
[-0.6611878270653834, -0.1068763929597032]
[-0.6580271141223838, -0.10712169639460048]
[-0.6548444842522158, -0.10736343186553605]
[-0.6516397361471006, -0.1076015409346633]
[-0.6484126642857669, -0.10783596374728714]
[-0.6451630588082788, -0.10806663898360992]
[-0.6418907053859197, -0.10829350380837392]
[-0.6385953850858908, -0.10851649381828878]
[-0.6352768742305653, -0.10873554298712368]
[-0.6319349442510265, -0.1089505836083378]
[-0.6285693615345985, -0.10916154623511337]
[-0.625179887266065, -0.10936835961764736]
[-0.6217662772622491, -0.10957095063754826]
[-0.618328281799607, -0.10976924423917403]
[-0.6148656454344712, -0.10996316335773632]
[-0.6113781068155489, -0.11015262884398452]
[-0.6078653984882608, -0.11033755938526982]
[-0.6043272466904784, -0.11051787142277596]
[-0.6007633711391872, -0.11069347906468878]
[-0.5971734848075724, -0.11086429399505972]
[-0.5935572936919928, -0.11103022537810156]
[-0.5899144965682683, -0.11119117975763548]
[-0.586244784736671, -0.11134706095138824]
[-0.5825478417549653, -0.11149776993981565]
[-0.5788233431588001, -0.11164320474910468]
[-0.5750709561687015, -0.11178326032798017]
[-0.5712903393828688, -0.11191782841791337]
[-0.5674811424549108, -0.11204679741629844]
[-0.5636430057556033, -0.11217005223212959]
[-0.5597755600176776, -0.11228747413367361]
[-0.5558784259625765, -0.11239894058759332]
[-0.5519512139080338, -0.11250432508893207]
[-0.5479935233552473, -0.11260349698132181]
[-0.5440049425543195, -0.11269632126672453]
[-0.5399850480465345, -0.11278265840395775]
[-0.53593340418193, -0.11286236409519221]
[-0.5318495626104961, -0.11293528905953902]
[-0.5277330617451998, -0.1130012787927666]
[-0.5235834261948813, -0.11306017331210283]
[-0.5194001661649132, -0.11311180688498436]
[-0.5151827768233249, -0.11315600774051086]
[-0.510930737629906, -0.11319259776224812]
[-0.506643511625583, -0.1132213921608967]
[-0.5023205446791245, -0.11324219912520254]
[-0.4979612646879678, -0.11325481944932943]
[-0.4935650807296703, -0.11325904613473982]
[-0.48913138216016333, -0.11325466396443679]
[-0.4846595376546347, -0.11324144904720462]
[-0.4801488941864658, -0.11321916832924367]
[-0.4755987759392113, -0.11318757907032603]
[-0.47100848314611954, -0.11314642828129565]
[-0.4663772908511452, -0.11309545211939721]
[-0.46170444758479556, -0.11303437523753587]
[-0.45698917394746924, -0.11296291008313944]
[-0.4522306610921827, -0.11288075614180862]
[-0.44742806909771826, -0.11278759912039106]
[-0.4425805252222649, -0.11268311006349123]
[-0.43768712202653026, -0.11256694439672085]
[-0.43274691535407683, -0.11243874088918758]
[-0.4277589221552407, -0.11229812052680117]
[-0.42272211813941546, -0.11214468528692416]
[-0.4176354352386879, -0.1119780168036888]
[-0.41249775886377327, -0.11179767491191787]
[-0.40730792493086154, -0.11160319605599016]
[-0.40206471663531756, -0.11139409154815039]
[-0.3967668609451141, -0.11116984565862774]
[-0.391413024783351, -0.1109299135174481]
[-0.38600181086514584, -0.1106737188049376]
[-0.3805317531494755, -0.11040065120453861]
[-0.37500131186108493, -0.11011006358760361]
[-0.3694088680312232, -0.10980126889517572]
[-0.3637527174985377, -0.10947353667627088]
[-0.35803106430275977, -0.10912608923566543]
[-0.35224201339357747, -0.10875809733644991]
[-0.34638356256501934, -0.10836867539336355]
[-0.3404535935113575, -0.10795687608183702]
[-0.3344498618835201, -0.10752168427431731]
[-0.32836998620466384, -0.10706201019929193]
[-0.3222114354791567, -0.10657668169878579]
[-0.31597151529980144, -0.10606443543609782]
[-0.3096473522224904, -0.1055239068760511]
[-0.3032358761340828, -0.10495361882358638]
[-0.2967338002861529, -0.10435196826123022]
[-0.29013759860181954, -0.10371721116930221]
[-0.28344347978178047, -0.10304744494136277]
[-0.276647357634565, -0.10234058791688808]
[-0.26974481692905034, -0.10159435543747627]
[-0.26273107390670336, -0.10080623168384213]
[-0.2556009303863001, -0.09997343635715264]
[-0.2483487201307546, -0.09909288501417292]
[-0.24096824580445364, -0.0981611415290805]
[-0.23345270440271523, -0.09717436070406102]
[-0.22579459844397173, -0.09612821844021197]
[-0.21798562942474878, -0.09501782604275626]
[-0.2100165689673608, -0.09383762407004591]
[-0.2018771016225857, -0.0925812494924674]
[-0.19355563124804898, -0.09124136757032175]
[-0.18503903999893082, -0.08980945641825398]
[-0.17631238482337908, -0.08827552709884993]
[-0.1673585102876839, -0.08662775428708186]
[-0.15815754748775931, -0.08485198037875863]
[-0.14868625493407525, -0.0829310364042459]
[-0.13891713553388413, -0.0808437908283029]
[-0.12881722864747316, -0.07856378196654498]
[-0.11834641756468824, -0.07605719083106867]
[-0.10745499130387601, -0.07327972566255075]
[-0.09608001674709928, -0.07017162070784579]
[-0.08413973201931106, -0.06664916637469323]
[-0.07152448866314748, -0.06258936424929398]
[-0.05808135892305023, -0.05779957556626897]
[-0.043586621710194964, -0.051949877757168354]
[-0.02769616607885132, -0.044393902797294355]
[-0.009893903093427671, -0.033544930691968115]
[0.00923200906283761, -0.013472567671129301]
[0.004828027816938571, 0.020049034866594033]
[-0.014446851851206829, 0.03666219046279945]
[-0.03173078659901417, 0.04644594285531364]
[-0.047240499926216, 0.053491481550559265]
[-0.06145290230248048, 0.05903691606458975]
[-0.0746767385333753, 0.06362206544930377]
[-0.08711497911276453, 0.0675333367789649]
[-0.09890809273417116, 0.07094218502471972]
[-0.11015784107475572, 0.07396000900154413]
[-0.12094074201469213, 0.07666360739993504]
